alfalfa_id	clover_id	log2foldchange	alfalfa_GO	clover_GO	alfalfa_functional_prediction	clover_functional_prediction
Cluster-2.47321	Cluster-3554.26300	-9.92355546016387	None	GO:0000502, GO:0005634, GO:0005737, GO:0043248	None	Putative proteasome maturation factor Ump1
Cluster-2.58739	Cluster-3554.18638	-7.26414571464425	None	None	None	Putative chromatin remodeling & transcriptional activation HMG family
Cluster-2.27111	Cluster-3554.27383	3.27188667410571	GO:0000325,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005911,GO:0006810,GO:0008150,GO:0009506,GO:0009605,GO:0009607,GO:0010290,GO:0015399,GO:0015405,GO:0015431,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0030054,GO:0031090,GO:0042623,GO:0042626,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043492,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0048046,GO:0050896,GO:0051179,GO:0051234,GO:0051704,GO:0051707,GO:0055044,GO:0055085,GO:0071997,GO:0098588,GO:0098805	GO:0000325, GO:0005774, GO:0016021, GO:0005524, GO:0008281, GO:0042626, GO:0009651, GO:0030007, GO:0055085, GO:1901527	ABC transporter C family member	Putative xenobiotic-transporting ATPase
Cluster-2.55409	Cluster-13756.1	3.59263601673123	GO:0016021	GO:0016021	Putative cadmium-transporting ATPase	Putative cadmium-transporting ATPase
Cluster-2.24787	Cluster-3554.17543	-6.96442273239401	None	GO:0003700, GO:0043565, GO:0044212, GO:0006355	None	Late_nodulin_protein
Cluster-2.13022	Cluster-3554.39957	3.75466167571559	GO:0005634, GO:0003700, GO:0043565, GO:0006355	GO:0005634, GO:0003700, GO:0043565, GO:0006355	Putative transcription factor bZIP family	Putative transcription factor bZIP family
Cluster-2.23546	Cluster-3554.16084	9.99168317735302	GO:0016021, GO:0046872, GO:0009878	None	Late_nodulin_protein	None
Cluster-11570.0	Cluster-3554.41108	-9.07107563444074	None	None	Pentatricopeptide repeat-containing protein	Putative tetratricopeptide-like helical domain-containing protein
Cluster-2.6613	Cluster-3554.24198	-5.82080200592076	GO:0009507, GO:0003723, GO:0006397, GO:0008033, GO:0008380	GO:0009507, GO:0003723, GO:0006397, GO:0008033, GO:0008380	Maturase K	Maturase K
Cluster-2.21447	Cluster-3554.25708	-6.40492508789741	None	GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0005840,GO:0005844,GO:0005886,GO:0005911,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009506,GO:0009507,GO:0009536,GO:0009719,GO:0009725,GO:0009735,GO:0009987,GO:0010033,GO:0010467,GO:0015935,GO:0016020,GO:0016070,GO:0016072,GO:0022613,GO:0022626,GO:0022627,GO:0030054,GO:0031974,GO:0031981,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042221,GO:0042254,GO:0042274,GO:0042788,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0050896,GO:0055044,GO:0070013,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990904	None	Belongs to the eukaryotic ribosomal protein eS6 family
Cluster-2.31170	Cluster-3554.18989	-7.40465553870559	GO:0002376,GO:0006457,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0009605,GO:0009607,GO:0009617,GO:0009814,GO:0009816,GO:0009987,GO:0042742,GO:0043207,GO:0045087,GO:0050896,GO:0051704,GO:0051707,GO:0061077,GO:0098542	None	heat shock protein	heat shock protein
Cluster-11076.1	Cluster-3554.32002	-5.80684318299521	GO:0016021, GO:0005506, GO:0050046, GO:0006633, GO:0055114	GO:0016021, GO:0005506, GO:0050046, GO:0006633, GO:0055114	Putative delta(7)-sterol 5(6)-desaturase	Putative delta(7)-sterol 5(6)-desaturase
Cluster-2.29336	Cluster-11526.0	6.01804631773513	GO:0030246	GO:0030246	Putative concanavalin A-like lectin/glucanase domain, legume lectin	Putative concanavalin A-like lectin/glucanase domain, legume lectin
Cluster-2.50075	Cluster-3554.16059	-5.9709316690522	GO:0003674,GO:0003824,GO:0004332,GO:0005488,GO:0005507,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005739,GO:0005740,GO:0005773,GO:0005774,GO:0005829,GO:0005886,GO:0005911,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006970,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009506,GO:0009507,GO:0009536,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009735,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0016020,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016829,GO:0016830,GO:0016832,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0023052,GO:0030054,GO:0030312,GO:0031090,GO:0031930,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042221,GO:0042866,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044428,GO:0044429,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046031,GO:0046034,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046686,GO:0046700,GO:0046872,GO:0046914,GO:0046939,GO:0048046,GO:0050789,GO:0050794,GO:0050896,GO:0051186,GO:0051188,GO:0051716,GO:0055044,GO:0055086,GO:0065007,GO:0070013,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0080167,GO:0090407,GO:0098588,GO:0098805,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576	GO:0005737, GO:0004332, GO:0006096	fructose-bisphosphate aldolase	Fructose-bisphosphate aldolase, cytoplasmic isozyme 2
Cluster-2.59462	Cluster-3554.26642	-6.1006035549263	None	GO:0005634, GO:0005737	None	Putative BolA protein
Cluster-2.23928	Cluster-3554.29100	11.8265113233852	None	GO:0046872, GO:0009878	Reverse_transcriptase-like	Putative Late nodulin
Cluster-2.24546	Cluster-3554.8180	13.8722299901104	GO:0046872, GO:0009878	GO:0046872, GO:0009878	Putative Late nodulin	Putative Late nodulin
Cluster-2.30541	Cluster-3554.14847	5.23217981787441	GO:0003674,GO:0005198,GO:0005200,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0005886,GO:0006950,GO:0006970,GO:0006996,GO:0007010,GO:0007017,GO:0008150,GO:0009266,GO:0009409,GO:0009628,GO:0009651,GO:0009987,GO:0015630,GO:0016020,GO:0016043,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464,GO:0050896,GO:0071840,GO:0071944	None	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Cluster-2.36646	Cluster-3554.6999	11.1966294400492	GO:0016021, GO:0046872, GO:0009878	None	Putative Late nodulin	None
Cluster-6781.0	Cluster-3554.2188	-6.87444401248189	GO:0005783, GO:0016021, GO:0005506, GO:0080132, GO:0006633, GO:0055114	GO:0000038,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006082,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009987,GO:0012505,GO:0019752,GO:0032787,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0071704	Putative fatty acid hydroxylase	Belongs to the sterol desaturase family
Cluster-8459.1	Cluster-3554.39434	-3.15198362011435	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004675,GO:0004888,GO:0005575,GO:0005623,GO:0005886,GO:0005911,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0008150,GO:0008152,GO:0009506,GO:0009719,GO:0009725,GO:0009741,GO:0009742,GO:0009755,GO:0009987,GO:0010033,GO:0014070,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019199,GO:0019538,GO:0023052,GO:0030054,GO:0032870,GO:0033993,GO:0036211,GO:0038023,GO:0042221,GO:0043170,GO:0043401,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0048545,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055044,GO:0060089,GO:0065007,GO:0070887,GO:0071310,GO:0071367,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0071704,GO:0071944,GO:0140096,GO:1901564,GO:1901700,GO:1901701	GO:0004672, GO:0005524, GO:0006468	serine threonine-protein kinase	Putative transferase, protein kinase RLK-Pelle-RLCK-XII-1 family
Cluster-2.16182	Cluster-3554.23646	-11.5855114668653	None	None	None	None
Cluster-2.47656	Cluster-3554.19515	-5.26861483601459	None	GO:0005634, GO:0003743, GO:0035197, GO:0006306, GO:0006342, GO:0006413, GO:0030422	None	Late_nodulin_protein
Cluster-9175.0	Cluster-3554.16825	-9.47436261003018	None	GO:0003674,GO:0005215,GO:0005372,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006833,GO:0008150,GO:0015250,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0022803,GO:0022838,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0042044,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944	Belongs to the MIP aquaporin (TC 1.A.8) family	Belongs to the MIP aquaporin (TC 1.A.8) family
Cluster-2.51387	Cluster-3554.34167	-6.2968961075266	GO:0005524	GO:0005783, GO:0016021, GO:0005524, GO:0032440, GO:0055114	Putative Heat shock protein 70 family	Putative Heat shock protein 70 family
Cluster-2.13079	Cluster-3554.11480	-9.72636304099018	None	None	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Cluster-2.40731	Cluster-3554.30453	-3.61323741861355	None	GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576	Elongation_factor_Tu_GTP_binding_domain	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
Cluster-2.7482	Cluster-3554.5809	-5.54118485482962	None	GO:0005622, GO:0009055, GO:0015035, GO:0035556, GO:0045454, GO:0055114	None	Putative winged helix-turn-helix DNA-binding domain, thioredoxin-like protein
Cluster-2.2527	Cluster-3961.2	-6.96437307847462	None	None	None	hypothetical protein
Cluster-2.47785	Cluster-3554.16074	-8.64355025094646	None	None	BURP domain	Putative BURP domain-containing protein
Cluster-2.51551	Cluster-3554.11775	4.38616418402077	GO:0005788, GO:0003756, GO:0006457, GO:0034976, GO:0045454	None	putative protein disulfide-isomerase A6	hypothetical protein
Cluster-2.9575	Cluster-3554.29490	2.80489530769544	GO:0005768, GO:0005802, GO:0016021, GO:0004602, GO:0009738, GO:0042542, GO:0042631, GO:0055114, GO:0098869	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0071944	Putative phospholipid-hydroperoxide glutathione peroxidase	Belongs to the glutathione peroxidase family
Cluster-2.49923	Cluster-3554.26749	11.1091193626717	None	None	None	None
Cluster-2.13734	Cluster-3554.33844	-7.2474245378108	GO:0005886, GO:0016021, GO:0015171, GO:0003333, GO:0032973, GO:0043090, GO:0080144	GO:0005886, GO:0016021, GO:0015171, GO:0003333, GO:0032973, GO:0043090, GO:0080144	Putative EamA domain-containing protein	Putative EamA domain-containing protein
Cluster-2.36611	Cluster-3554.44166	-3.95033771284718	GO:0009570, GO:0016021, GO:0004177, GO:0046872, GO:0006508	GO:0009570, GO:0016021, GO:0004177, GO:0046872, GO:0006508	Putative hydrolase	Putative hydrolase
Cluster-5909.0	Cluster-3554.20386	-8.38434094746985	GO:0016021	GO:0016021	Putative arabinogalactan peptide, AGP	Putative arabinogalactan peptide, AGP
Cluster-2.34320	Cluster-3554.26580	3.77888401625787	GO:0000003,GO:0000902,GO:0000904,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0006810,GO:0006839,GO:0006915,GO:0006928,GO:0006996,GO:0007005,GO:0007006,GO:0007017,GO:0007018,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0008219,GO:0008637,GO:0009653,GO:0009790,GO:0009791,GO:0009793,GO:0009826,GO:0009856,GO:0009860,GO:0009932,GO:0009987,GO:0010154,GO:0010970,GO:0012501,GO:0016020,GO:0016021,GO:0016043,GO:0016049,GO:0019725,GO:0019867,GO:0022414,GO:0023052,GO:0030154,GO:0030705,GO:0031090,GO:0031224,GO:0031300,GO:0031301,GO:0031306,GO:0031307,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0032501,GO:0032502,GO:0032592,GO:0032989,GO:0034643,GO:0035794,GO:0040007,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0044706,GO:0046902,GO:0046907,GO:0047497,GO:0048316,GO:0048468,GO:0048588,GO:0048589,GO:0048608,GO:0048731,GO:0048856,GO:0048868,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051646,GO:0051649,GO:0051654,GO:0051656,GO:0051704,GO:0051716,GO:0060560,GO:0061024,GO:0061458,GO:0065007,GO:0065008,GO:0071840,GO:0072384,GO:0090559,GO:0097190,GO:0097345,GO:0098573,GO:0098588,GO:0098805,GO:0099111,GO:1902108,GO:1902110,GO:1902686,GO:1905710	GO:0031307, GO:0003924, GO:0005509, GO:0005525, GO:0007005, GO:0007264	mitochondrial Rho GTPase	Putative EF-hand domain pair, mitochondrial Rho GTPase
Cluster-2.59822	Cluster-3554.12660	5.12529736493817	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009553,GO:0009561,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0030684,GO:0031974,GO:0031981,GO:0032040,GO:0032501,GO:0032502,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0048229,GO:0048856,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1990904	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0009553,GO:0009561,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0030684,GO:0031974,GO:0031981,GO:0032040,GO:0032501,GO:0032502,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0048229,GO:0048856,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1990904	U3 small nucleolar RNA-associated protein 11	U3 small nucleolar RNA-associated protein 11
Cluster-2.24081	Cluster-3554.10404	11.8000729509921	GO:0016020, GO:0046872, GO:0009878	GO:0016020, GO:0046872, GO:0009878	Putative Late nodulin	Putative Late nodulin
Cluster-2.19515	Cluster-3554.6047	-8.11184699037194	None	None	None	None
Cluster-2.38310	Cluster-3554.38745	-3.28253719671311	None	GO:0031359, GO:0005515, GO:0050566, GO:0015031	Encoded by	Translocon at the outer membrane of chloroplasts 64
Cluster-2.37778	Cluster-8946.0	5.01509282807838	None	GO:0000784, GO:0003684, GO:0016740, GO:0035312, GO:0006303, GO:0031848, GO:0036297, GO:0090305	5' exonuclease	Putative metallo-beta-lactamase
Cluster-2.30564	Cluster-3554.23028	-9.84735211997812	None	None	None	None
Cluster-2.53872	Cluster-3554.23430	7.3399698997625	None	None	Serine threonine-protein phosphatase 2A 65 kDa regulatory subunit A	None
Cluster-2.42473	Cluster-3554.20955	-5.56934134685732	GO:0000003,GO:0000910,GO:0001067,GO:0001101,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006808,GO:0006810,GO:0006950,GO:0006970,GO:0006972,GO:0007049,GO:0007154,GO:0007165,GO:0008150,GO:0009314,GO:0009416,GO:0009628,GO:0009639,GO:0009651,GO:0009719,GO:0009723,GO:0009725,GO:0009737,GO:0009739,GO:0009740,GO:0009751,GO:0009753,GO:0009755,GO:0009863,GO:0009867,GO:0009889,GO:0009892,GO:0009893,GO:0009894,GO:0009937,GO:0009938,GO:0009966,GO:0009968,GO:0009987,GO:0010029,GO:0010033,GO:0010187,GO:0010218,GO:0010232,GO:0010233,GO:0010453,GO:0010454,GO:0010468,GO:0010476,GO:0010556,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010646,GO:0010648,GO:0014070,GO:0019219,GO:0019222,GO:0022402,GO:0022414,GO:0023051,GO:0023052,GO:0023057,GO:0031323,GO:0031326,GO:0032501,GO:0032870,GO:0033206,GO:0033993,GO:0035690,GO:0040008,GO:0042176,GO:0042221,GO:0042493,GO:0042538,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0045595,GO:0045596,GO:0045926,GO:0046677,GO:0048518,GO:0048519,GO:0048523,GO:0048580,GO:0048581,GO:0048583,GO:0048585,GO:0048638,GO:0048640,GO:0048831,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051171,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051246,GO:0051252,GO:0051301,GO:0051321,GO:0051716,GO:0060255,GO:0061640,GO:0065007,GO:0070887,GO:0071229,GO:0071236,GO:0071310,GO:0071370,GO:0071395,GO:0071396,GO:0071407,GO:0071446,GO:0071495,GO:0080050,GO:0080090,GO:0097159,GO:0097305,GO:0140110,GO:1900032,GO:1900033,GO:1900140,GO:1901363,GO:1901700,GO:1901701,GO:1903046,GO:1903506,GO:1905613,GO:1905614,GO:1905622,GO:2000024,GO:2000026,GO:2000033,GO:2000034,GO:2000112,GO:2000241,GO:2000377,GO:2001141	GO:0005634, GO:0000989, GO:0003700, GO:0043565, GO:0006351, GO:0006355, GO:0009723, GO:0009737, GO:0009863, GO:0009867, GO:0009938, GO:0010187, GO:0042538, GO:2000033, GO:2000377	Belongs to the GRAS family	Putative transcription factor GRAS family
